Name;DataType;Length;Coding;Address
CMD_EXTRUSORI.EXTB.START_LINE_POMA;Bool;1;Binary;%DB2000.DBX12696.1
CMD_EXTRUSORI.EXTB.MAN_AUTO_PID_EX;Bool;1;Binary;%DB2000.DBX12696.2
CMD_EXTRUSORI.EXTB.MAN_AUTO_PID_POMPA;Bool;1;Binary;%DB2000.DBX12696.3
CMD_EXTRUSORI.EXTB.SET_TEMP_MASTER;Real;4;IEEE754;%DB2000.DBD12698
CMD_EXTRUSORI.EXTB.IMPOSTA_TEMP_MASTER;Bool;1;Binary;%DB2000.DBX12702.0
CMD_EXTRUSORI.EXTB.SET_GSM_EX;Real;4;IEEE754;%DB2000.DBD12704
CMD_EXTRUSORI.EXTB.SET_GMS_POMPA;Real;4;IEEE754;%DB2000.DBD12708
CMD_EXTRUSORI.EXTB.SET_PRESSIONE_PRIMA_MOPA_EX;Real;4;IEEE754;%DB2000.DBD12712
CMD_EXTRUSORI.EXTB.OUT_VEL_PID_EX;Real;4;IEEE754;%DB2000.DBD12716
CMD_EXTRUSORI.EXTB.OUT_VEL_PID_POMPA;Real;4;IEEE754;%DB2000.DBD12720
CMD_EXTRUSORI.EXTB.PARAMETRI_PID_EX.KP;Real;4;IEEE754;%DB2000.DBD12724
CMD_EXTRUSORI.EXTB.PARAMETRI_PID_EX.KI;Real;4;IEEE754;%DB2000.DBD12728
CMD_EXTRUSORI.EXTB.PARAMETRI_PID_POMPA.KP;Real;4;IEEE754;%DB2000.DBD12732
CMD_EXTRUSORI.EXTB.PARAMETRI_PID_POMPA.KI;Real;4;IEEE754;%DB2000.DBD12736
CMD_EXTRUSORI.EXTB.SET_ALLARMI_EX.SET_AMPER_ALLARME;Real;4;IEEE754;%DB2000.DBD12740
CMD_EXTRUSORI.EXTB.SET_ALLARMI_EX.TEMPO_FILTRO_AMP;Real;4;IEEE754;%DB2000.DBD12744
CMD_EXTRUSORI.EXTB.SET_ALLARMI_EX.OUT.ALLA_MAX_AMP;Bool;1;Binary;%DB2000.DBX12748.0
CMD_EXTRUSORI.EXTB.SET_ALLARMI_POMPA.SET_AMPER_ALLARME;Real;4;IEEE754;%DB2000.DBD12750
CMD_EXTRUSORI.EXTB.SET_ALLARMI_POMPA.TEMPO_FILTRO_AMP;Real;4;IEEE754;%DB2000.DBD12754
CMD_EXTRUSORI.EXTB.SET_ALLARMI_POMPA.OUT.ALLA_MAX_AMP;Bool;1;Binary;%DB2000.DBX12758.0
CMD_EXTRUSORI.EXTB.PARAMETEI_IN_EX.NOME;String;254;Binary;%DB2000.DBX12760.0
CMD_EXTRUSORI.EXTB.PARAMETEI_IN_EX.START;Bool;1;Binary;%DB2000.DBX13016.0
CMD_EXTRUSORI.EXTB.PARAMETEI_IN_EX.INVERSIONE;Bool;1;Binary;%DB2000.DBX13016.1
CMD_EXTRUSORI.EXTB.PARAMETEI_IN_EX.ACC_ALLARMI;Bool;1;Binary;%DB2000.DBX13016.2
CMD_EXTRUSORI.EXTB.PARAMETEI_IN_EX.RESET_ALLARMI;Bool;1;Binary;%DB2000.DBX13016.3
CMD_EXTRUSORI.EXTB.PARAMETEI_IN_EX.SET_VELOCITA;Real;4;IEEE754;%DB2000.DBD13018
CMD_EXTRUSORI.EXTB.PARAMETEI_IN_EX.SET_COPPIA;Real;4;IEEE754;%DB2000.DBD13022
CMD_EXTRUSORI.EXTB.PARAMETEI_IN_EX.PARAMETRI_MOT.MAX_VELOCITA;Real;4;IEEE754;%DB2000.DBD13026
CMD_EXTRUSORI.EXTB.PARAMETEI_IN_EX.PARAMETRI_MOT.MAX_CORRENTE;Real;4;IEEE754;%DB2000.DBD13030
CMD_EXTRUSORI.EXTB.PARAMETEI_IN_EX.PARAMETRI_MOT.MAX_COPPIA;Real;4;IEEE754;%DB2000.DBD13034
CMD_EXTRUSORI.EXTB.PARAMETEI_IN_EX.PARAMETRI_MOT.GIRI_MOTORE_MAX;Real;4;IEEE754;%DB2000.DBD13038
CMD_EXTRUSORI.EXTB.PARAMETEI_IN_EX.PARAMETRI_MOT.RAPPORTO_RIDUZIONE;Real;4;IEEE754;%DB2000.DBD13042
CMD_EXTRUSORI.EXTB.PARAMETEI_IN_EX.PARAMETRI_MOT.VELOCITA_INVERTER;Real;4;IEEE754;%DB2000.DBD13046
CMD_EXTRUSORI.EXTB.PARAMETRI_OUT_EX.REALE_VELOCITA;Real;4;IEEE754;%DB2000.DBD13050
CMD_EXTRUSORI.EXTB.PARAMETRI_OUT_EX.REALE_CORRENTE;Real;4;IEEE754;%DB2000.DBD13054
CMD_EXTRUSORI.EXTB.PARAMETRI_OUT_EX.REALE_CORRENTE_PERCENTUALE;Real;4;IEEE754;%DB2000.DBD13058
CMD_EXTRUSORI.EXTB.PARAMETRI_OUT_EX.REALE_COPPIA;Real;4;IEEE754;%DB2000.DBD13062
